id,name,end_market,region,payment_terms_days,credit_limit,active
CUST-0001,Apex Automation,Logistics Automation,Canada,45,375000.0,1
CUST-0002,Arbor Ridge Automation,Food & Beverage Equipment,West,60,500000.0,1
CUST-0003,Beacon Automation,Water & Wastewater,Southwest,30,625000.0,1
CUST-0004,Bluewater Automation,Forest Products,Southeast,45,750000.0,1
CUST-0005,Bridgepoint Automation,General Industrial,Northeast,60,875000.0,1
CUST-0006,Clearwater Automation,Packaging Automation,Midwest,30,1000000.0,1
CUST-0007,Crescent Automation,Logistics Automation,Canada,45,1125000.0,1
CUST-0008,Delta Automation,Food & Beverage Equipment,West,60,1250000.0,1
CUST-0009,Eastgate Automation,Water & Wastewater,Southwest,30,1375000.0,1
CUST-0010,Evergreen Automation,Forest Products,Southeast,45,1500000.0,1
CUST-0011,Fairmont Automation,General Industrial,Northeast,60,1625000.0,1
CUST-0012,Frontier Automation,Packaging Automation,Midwest,30,1750000.0,1
CUST-0013,Granite Automation,Logistics Automation,Canada,45,1875000.0,1
CUST-0014,Harbor Automation,Food & Beverage Equipment,West,60,2000000.0,1
CUST-0015,Highland Automation,Water & Wastewater,Southwest,30,2125000.0,1
CUST-0016,Ironwood Automation,Forest Products,Southeast,45,2250000.0,1
CUST-0017,Juniper Automation,General Industrial,Northeast,60,2375000.0,1
CUST-0018,Keystone Automation,Packaging Automation,Midwest,30,2500000.0,1
CUST-0019,Lakeshore Automation,Logistics Automation,Canada,45,2625000.0,1
CUST-0020,Maple Ridge Automation,Food & Beverage Equipment,West,60,250000.0,1
CUST-0021,Meridian Automation,Water & Wastewater,Southwest,30,375000.0,1
CUST-0022,Monarch Automation,Forest Products,Southeast,45,500000.0,1
CUST-0023,Northline Automation,General Industrial,Northeast,60,625000.0,1
CUST-0024,Oakmont Automation,Packaging Automation,Midwest,30,750000.0,1
CUST-0025,Parkside Automation,Logistics Automation,Canada,45,875000.0,1
CUST-0026,Pioneer Automation,Food & Beverage Equipment,West,60,1000000.0,1
CUST-0027,Prairie State Automation,Water & Wastewater,Southwest,30,1125000.0,1
CUST-0028,Redwood Automation,Forest Products,Southeast,45,1250000.0,1
CUST-0029,Riverton Automation,General Industrial,Northeast,60,1375000.0,1
CUST-0030,Rockford Automation,Packaging Automation,Midwest,30,1500000.0,1
CUST-0031,Silverline Automation,Logistics Automation,Canada,45,1625000.0,1
CUST-0032,Summit Automation,Food & Beverage Equipment,West,60,1750000.0,1
CUST-0033,Timberline Automation,Water & Wastewater,Southwest,30,1875000.0,1
CUST-0034,Triad Automation,Forest Products,Southeast,45,2000000.0,1
CUST-0035,Valley Forge Automation,General Industrial,Northeast,60,2125000.0,1
CUST-0036,Vector Automation,Packaging Automation,Midwest,30,2250000.0,1
CUST-0037,Westbridge Automation,Logistics Automation,Canada,45,2375000.0,1
CUST-0038,Willow Creek Automation,Food & Beverage Equipment,West,60,2500000.0,1
CUST-0039,Windward Automation,Water & Wastewater,Southwest,30,2625000.0,1
CUST-0040,Woodland Automation,Forest Products,Southeast,45,250000.0,1
CUST-0041,Apex Systems,General Industrial,Northeast,60,375000.0,1
CUST-0042,Arbor Ridge Systems,Packaging Automation,Midwest,30,500000.0,1
CUST-0043,Beacon Systems,Logistics Automation,Canada,45,625000.0,1
CUST-0044,Bluewater Systems,Food & Beverage Equipment,West,60,750000.0,1
CUST-0045,Bridgepoint Systems,Water & Wastewater,Southwest,30,875000.0,1
CUST-0046,Clearwater Systems,Forest Products,Southeast,45,1000000.0,1
