id,description,item_type,product_family,inventory_uom,make_buy,lot_controlled,serial_controlled,lifecycle_status,standard_order_quantity,primary_vendor_id,commodity
ACT-0001,"Electric linear actuator, frame 040, stroke 100 mm",Finished Good,ACT,EA,Make,0,0,Active,5.0,,Finished Product
ACT-0002,"Electric linear actuator, frame 050, stroke 100 mm",Finished Good,ACT,EA,Make,0,0,Active,10.0,,Finished Product
ACT-0003,"Electric linear actuator, frame 063, stroke 100 mm",Finished Good,ACT,EA,Make,0,0,Active,20.0,,Finished Product
ACT-0004,"Electric linear actuator, frame 075, stroke 100 mm",Finished Good,ACT,EA,Make,0,0,Active,50.0,,Finished Product
ACT-0005,"Electric linear actuator, frame 090, stroke 100 mm",Finished Good,ACT,EA,Make,0,0,Active,100.0,,Finished Product
ACT-0006,"Electric linear actuator, frame 110, stroke 100 mm",Finished Good,ACT,EA,Make,0,0,Active,1.0,,Finished Product
ACT-0007,"Electric linear actuator, frame 140, stroke 100 mm",Finished Good,ACT,EA,Make,0,1,Active,5.0,,Finished Product
ACT-0008,"Electric linear actuator, frame 160, stroke 100 mm",Finished Good,ACT,EA,Make,0,0,Active,10.0,,Finished Product
ACT-0009,"Electric linear actuator, frame 200, stroke 100 mm",Finished Good,ACT,EA,Make,1,0,Active,20.0,,Finished Product
ACT-0010,"Electric linear actuator, frame 250, stroke 100 mm",Finished Good,ACT,EA,Make,0,0,Active,50.0,,Finished Product
ACT-0011,"Electric linear actuator, frame 040, stroke 200 mm",Finished Good,ACT,EA,Make,0,0,Active,100.0,,Finished Product
ACT-0012,"Electric linear actuator, frame 050, stroke 200 mm",Finished Good,ACT,EA,Make,0,0,Active,1.0,,Finished Product
ACT-0013,"Electric linear actuator, frame 063, stroke 200 mm",Finished Good,ACT,EA,Make,0,0,Active,5.0,,Finished Product
ACT-0014,"Electric linear actuator, frame 075, stroke 200 mm",Finished Good,ACT,EA,Make,0,1,Active,10.0,,Finished Product
ACT-0015,"Electric linear actuator, frame 090, stroke 200 mm",Finished Good,ACT,EA,Make,0,0,Active,20.0,,Finished Product
ACT-0016,"Electric linear actuator, frame 110, stroke 200 mm",Finished Good,ACT,EA,Make,0,0,Active,50.0,,Finished Product
ACT-0017,"Electric linear actuator, frame 140, stroke 200 mm",Finished Good,ACT,EA,Make,0,0,Active,100.0,,Finished Product
ACT-0018,"Electric linear actuator, frame 160, stroke 200 mm",Finished Good,ACT,EA,Make,1,0,Active,1.0,,Finished Product
ACT-0019,"Electric linear actuator, frame 200, stroke 200 mm",Finished Good,ACT,EA,Make,0,0,Active,5.0,,Finished Product
ACT-0020,"Electric linear actuator, frame 250, stroke 200 mm",Finished Good,ACT,EA,Make,0,0,Active,10.0,,Finished Product
ACT-0021,"Electric linear actuator, frame 040, stroke 300 mm",Finished Good,ACT,EA,Make,0,1,Active,20.0,,Finished Product
ACT-0022,"Electric linear actuator, frame 050, stroke 300 mm",Finished Good,ACT,EA,Make,0,0,Active,50.0,,Finished Product
ACT-0023,"Electric linear actuator, frame 063, stroke 300 mm",Finished Good,ACT,EA,Make,0,0,Active,100.0,,Finished Product
ACT-0024,"Electric linear actuator, frame 075, stroke 300 mm",Finished Good,ACT,EA,Make,0,0,Active,1.0,,Finished Product
ACT-0025,"Electric linear actuator, frame 090, stroke 300 mm",Finished Good,ACT,EA,Make,0,0,Active,5.0,,Finished Product
ACT-0026,"Electric linear actuator, frame 110, stroke 300 mm",Finished Good,ACT,EA,Make,0,0,Active,10.0,,Finished Product
ACT-0027,"Electric linear actuator, frame 140, stroke 300 mm",Finished Good,ACT,EA,Make,1,0,Active,20.0,,Finished Product
ACT-0028,"Electric linear actuator, frame 160, stroke 300 mm",Finished Good,ACT,EA,Make,0,1,Active,50.0,,Finished Product
ACT-0029,"Electric linear actuator, frame 200, stroke 300 mm",Finished Good,ACT,EA,Make,0,0,Active,100.0,,Finished Product
ACT-0030,"Electric linear actuator, frame 250, stroke 300 mm",Finished Good,ACT,EA,Make,0,0,Active,1.0,,Finished Product
ACT-0031,"Electric linear actuator, frame 040, stroke 450 mm",Finished Good,ACT,EA,Make,0,0,Active,5.0,,Finished Product
ACT-0032,"Electric linear actuator, frame 050, stroke 450 mm",Finished Good,ACT,EA,Make,0,0,Active,10.0,,Finished Product
ACT-0033,"Electric linear actuator, frame 063, stroke 450 mm",Finished Good,ACT,EA,Make,0,0,Active,20.0,,Finished Product
ACT-0034,"Electric linear actuator, frame 075, stroke 450 mm",Finished Good,ACT,EA,Make,0,0,Active,50.0,,Finished Product
ACT-0035,"Electric linear actuator, frame 090, stroke 450 mm",Finished Good,ACT,EA,Make,0,1,Active,100.0,,Finished Product
ACT-0036,"Electric linear actuator, frame 110, stroke 450 mm",Finished Good,ACT,EA,Make,1,0,Active,1.0,,Finished Product
ACT-0037,"Electric linear actuator, frame 140, stroke 450 mm",Finished Good,ACT,EA,Make,0,0,Active,5.0,,Finished Product
ACT-0038,"Electric linear actuator, frame 160, stroke 450 mm",Finished Good,ACT,EA,Make,0,0,Active,10.0,,Finished Product
