source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
PLN-00316,Complete the FY27 field workforce plan,Employee roster summary,Journey,2026-06-30,Approved case,Active FTE,0.6428571428571429,,ledger allocation factor,HR roster reconciled to employee master,2026-06-30,Vista ERP employee master at 2026-06-30; active employees
PLN-00317,Complete the FY27 field workforce plan,Employee roster summary,Journey,FY27,Approved case,Monthly paid hours per FTE,160.0,,hours,Finance operating schedule,2026-06-30,
PLN-00318,Complete the FY27 field workforce plan,Employee roster summary,Journey,FY27,Approved case,Productive utilization,0.86,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00319,Complete the FY27 field workforce plan,Employee roster summary,Journey,FY27,Approved case,Average hourly wage,54.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00320,Complete the FY27 field workforce plan,Employee roster summary,Journey,FY27,Approved case,Benefits and burden,0.31,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00333,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,2026-06-30,Approved case,Active FTE,0.25,,ledger allocation factor,HR roster reconciled to employee master,2026-06-30,Vista ERP employee master at 2026-06-30; active employees
PLN-00334,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,FY27,Approved case,Monthly paid hours per FTE,160.0,,hours,Finance operating schedule,2026-06-30,
PLN-00335,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,FY27,Approved case,Productive utilization,0.74,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00336,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,FY27,Approved case,Average hourly wage,31.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00337,Complete the FY27 field workforce plan,Employee roster summary,Apprentice,FY27,Approved case,Benefits and burden,0.34,,decimal ratio,Finance operating schedule,2026-06-30,
